Reference,Analog/Digital,Connection,Eng. Unit,Module,Device,I/O Function,Cabinet Mapping,P&ID,Module Reference,Low Range,High Range
1290-CA0001_XST,DO,24 VDC,N/A,Air compression,Compressor Unit,Start compressor,DO01-02,P&ID-028,2-001,N/A,N/A
1290-CA0001_XSP,DO,24 VDC,N/A,Air compression,Compressor Unit,Stop compressor,DO01-03,P&ID-028,2-001,N/A,N/A
1290-CA0001_XRN,DI,24 VDC,N/A,Air compression,Compressor Unit,Running status,DI01-04,P&ID-028,2-001,N/A,N/A
1290-CA0001_XPFA,DI,24 VDC,N/A,Air compression,Compressor Unit,Power fault,DI01-05,P&ID-028,2-001,N/A,N/A
1290-PT0001_PI,AI,4-20 mA,bar,Air compression,Pressure Device,Pressure reading,AI01-06,P&ID-005,2-001,0,24
1290-PT0002_PI,AI,0-10 V,bar,Air compression,Pressure Device,Pressure reading,AI01-07,P&ID-005,2-001,0,13
1290-TT0001_TI,AI,0-10 V,Celcius,Air compression,Temperature Device,Temperature reading,AI01-08,P&ID-027,2-001,29,133
1290-VC30001_XOC,DO,Relay,N/A,Material batching,Three-Way Valve,Open command,DO01-09,P&ID-017,3-001,N/A,N/A
1290-VC30001_XCC,DO,Relay,N/A,Material batching,Three-Way Valve,Close command,DO01-10,P&ID-017,3-001,N/A,N/A
1290-VC30001_XIC,DO,Relay,N/A,Material batching,Three-Way Valve,Mid position,DO01-11,P&ID-017,3-001,N/A,N/A
1290-VC30001_XOF,DI,Pulse,N/A,Material batching,Three-Way Valve,Open status,DI01-12,P&ID-017,3-001,N/A,N/A
1290-VC30001_XCF,DI,Dry Contact,N/A,Material batching,Three-Way Valve,Closed status,DI01-13,P&ID-017,3-001,N/A,N/A
1290-VC30001_XIF,DI,24 VDC,N/A,Material batching,Three-Way Valve,Mid status,DI01-14,P&ID-017,3-001,N/A,N/A
1290-VC30001_XMV,DI,Pulse,N/A,Material batching,Three-Way Valve,Moving status,DI01-15,P&ID-017,3-001,N/A,N/A
1290-VC30001_XFT,DI,24 VDC,N/A,Material batching,Three-Way Valve,Fault status,DI01-16,P&ID-017,3-001,N/A,N/A
1290-VC30001_POS,AI,4-20 mA,N/A,Material batching,Three-Way Valve,Position value,AI02-01,P&ID-017,3-001,0,100
1290-VC30001_XRS,DO,Solid State,N/A,Material batching,Three-Way Valve,Reset fault,DO02-02,P&ID-017,3-001,N/A,N/A
1290-VC30002_XOC,DO,Solid State,N/A,Material batching,Three-Way Valve,Open command,DO02-03,P&ID-010,3-001,N/A,N/A
1290-VC30002_XCC,DO,24 VDC,N/A,Material batching,Three-Way Valve,Close command,DO02-04,P&ID-010,3-001,N/A,N/A
1290-VC30002_XIC,DO,Solid State,N/A,Material batching,Three-Way Valve,Mid position,DO02-05,P&ID-010,3-001,N/A,N/A
1290-VC30002_XOF,DI,Pulse,N/A,Material batching,Three-Way Valve,Open status,DI02-06,P&ID-010,3-001,N/A,N/A
1290-VC30002_XCF,DI,Dry Contact,N/A,Material batching,Three-Way Valve,Closed status,DI02-07,P&ID-010,3-001,N/A,N/A
1290-VC30002_XIF,DI,24 VDC,N/A,Material batching,Three-Way Valve,Mid status,DI02-08,P&ID-010,3-001,N/A,N/A
1290-VC30002_XMV,DI,Pulse,N/A,Material batching,Three-Way Valve,Moving status,DI02-09,P&ID-010,3-001,N/A,N/A
1290-VC30002_XFT,DI,Dry Contact,N/A,Material batching,Three-Way Valve,Fault status,DI02-10,P&ID-010,3-001,N/A,N/A
1290-VC30002_POS,AI,0-10 V,N/A,Material batching,Three-Way Valve,Position value,AI02-11,P&ID-010,3-001,0,100
1290-VC30002_XRS,DO,Relay,N/A,Material batching,Three-Way Valve,Reset fault,DO02-12,P&ID-010,3-001,N/A,N/A
1290-PM0001_XST,DO,Solid State,N/A,Material transfer,Pump Motor Basic,Start pump,DO02-13,P&ID-009,3-002,N/A,N/A
1290-PM0001_XSP,DO,Solid State,N/A,Material transfer,Pump Motor Basic,Stop pump,DO02-14,P&ID-009,3-002,N/A,N/A
1290-PM0001_XRC,DO,Relay,N/A,Material transfer,Pump Motor Basic,Remote control,DO02-15,P&ID-009,3-002,N/A,N/A
